filt,dist,age,feh,runs,age_bin,feh_meas,massdiff
WFIRST_X625,4,9.30,-2.20,4,8.65,0.0,0.0
WFIRST_X625,4,9.30,-2.20,4,8.70,0.0,0.0
WFIRST_X625,4,9.30,-2.20,4,8.75,0.0,0.0
WFIRST_X625,4,9.30,-2.20,4,8.80,0.0,0.0
WFIRST_X625,4,9.30,-2.20,4,8.85,0.0,0.0
WFIRST_X625,4,9.30,-2.20,4,8.90,0.0,0.0
WFIRST_X625,4,9.30,-2.20,4,8.95,-0.825,0.00019999999999997797
WFIRST_X625,4,9.30,-2.20,4,9.00,0.0,0.0
WFIRST_X625,4,9.30,-2.20,4,9.05,-1.85,0.00029999999999996696
WFIRST_X625,4,9.30,-2.20,4,9.10,0.0,0.0
WFIRST_X625,4,9.30,-2.20,4,9.15,0.0,0.0
WFIRST_X625,4,9.30,-2.20,4,9.20,0.0,0.0
WFIRST_X625,4,9.30,-2.20,4,9.25,0.0,0.0
WFIRST_X625,4,9.30,-2.20,4,9.30,-2.1959999999999997,0.7390000000000001
WFIRST_X625,4,9.30,-2.20,4,9.35,-2.25,0.139
WFIRST_X625,4,9.30,-2.20,4,9.40,-2.25,0.07050000000000001
WFIRST_X625,4,9.30,-2.20,4,9.45,-2.15,0.013099999999999994
WFIRST_X625,4,9.30,-2.20,4,9.50,-2.25,0.012000000000000004
WFIRST_X625,4,9.30,-2.20,4,9.55,-2.178,0.025899999999999923
WFIRST_X625,4,9.30,-2.20,5,8.40,0.0,0.0
WFIRST_X625,4,9.30,-2.20,5,8.45,0.0,0.0
WFIRST_X625,4,9.30,-2.20,5,8.50,-0.65,0.0
WFIRST_X625,4,9.30,-2.20,5,8.55,0.0,0.0
WFIRST_X625,4,9.30,-2.20,5,8.60,0.0,0.0
WFIRST_X625,4,9.30,-2.20,5,8.65,0.0,0.0
WFIRST_X625,4,9.30,-2.20,5,8.70,0.0,0.0
WFIRST_X625,4,9.30,-2.20,5,8.75,0.0,0.0
WFIRST_X625,4,9.30,-2.20,5,8.80,0.0,0.0
WFIRST_X625,4,9.30,-2.20,5,8.85,0.0,0.0
WFIRST_X625,4,9.30,-2.20,5,8.90,-0.5489999999999999,0.0
WFIRST_X625,4,9.30,-2.20,5,8.95,-0.5920000000000001,0.0004999999999999449
WFIRST_X625,4,9.30,-2.20,5,9.00,0.0,0.0
WFIRST_X625,4,9.30,-2.20,5,9.05,0.15,0.0
WFIRST_X625,4,9.30,-2.20,5,9.10,0.0,0.0
WFIRST_X625,4,9.30,-2.20,5,9.15,0.0,0.0
WFIRST_X625,4,9.30,-2.20,5,9.20,-2.013,0.0
WFIRST_X625,4,9.30,-2.20,5,9.25,0.0,0.0
WFIRST_X625,4,9.30,-2.20,5,9.30,-2.195,0.7632000000000001
