filt,dist,age,feh,feh_meas_mean,feh_meas_std,feh_meas_median,massdiff_mean,massdiff_std,massdiff_median,feh_weighted,age_weighted,feh_diff_mean
WFIRST_X625,4.0,10.00,-0.20,-0.209,0.004213074886588183,-0.21,0.899,0.037896602750114715,0.89525,-0.20498201250000003,9.9964,-0.00899999999999998
WFIRST_X625,4.0,10.00,-0.50,-0.513,0.002738612787525833,-0.512,0.9297624999999999,0.03241430770122971,0.93835,-0.5101083625,9.997368125000003,-0.013000000000000012
WFIRST_X625,4.0,10.00,-0.80,-0.81825,0.004085033659592056,-0.8180000000000001,0.898475,0.031506894086850264,0.9022,-0.8113081593750002,9.994273750000001,-0.01824999999999999
WFIRST_X625,4.0,10.00,-1.30,-1.32025,0.0021065374432941014,-1.3205,0.85545,0.0164564576990311,0.8572500000000001,-1.3199356468749999,9.991785000000002,-0.02024999999999988
WFIRST_X625,4.0,10.00,-1.80,-1.8175,0.0014142135623730866,-1.818,0.75295,0.012970061680655178,0.7567,-1.8278644546874998,9.986888750000002,-0.01749999999999985
WFIRST_X625,4.0,10.00,-2.20,-2.230125,0.0033330729064932787,-2.231,0.7897,0.02105742149457051,0.7806,-2.2249659515625,9.988453125,-0.030124999999999957
WFIRST_X625,4.0,10.00,0.00,-0.01025,0.0038324274291889732,-0.0105,0.820975,0.0671209868446524,0.8271,-0.021017065625,10.0009,-0.01025
WFIRST_X625,4.0,10.00,0.10,0.092625,0.0034618456060315564,0.0915,0.862325,0.04733066527104811,0.8657,0.0872114796875,10.001644375,-0.0073750000000000066
WFIRST_X625,4.0,10.10,-0.20,-0.21125,0.0025372228912730523,-0.21200000000000002,0.9276125,0.03323429845430771,0.93445,-0.21171265937499997,10.093755624999998,-0.011249999999999982
WFIRST_X625,4.0,10.10,-0.50,-0.511,0.0033541019662496874,-0.5115000000000001,0.9180875000000001,0.03459445177698295,0.9291,-0.5109216125,10.095198750000002,-0.01100000000000001
WFIRST_X625,4.0,10.10,-0.80,-0.815375,0.0026427968139832348,-0.8154999999999999,0.9076,0.031343938808005595,0.8982,-0.8084869718749997,10.093685,-0.015374999999999917
WFIRST_X625,4.0,10.10,-1.30,-1.31425,0.0021065374432941014,-1.3145,0.84575,0.017316321780331993,0.846,-1.3218572843749998,10.091535000000002,-0.014249999999999874
WFIRST_X625,4.0,10.10,-1.80,-1.8205,0.0022912878474779463,-1.8205,0.8202,0.017164352594840258,0.8185,-1.829853690625,10.090124375,-0.020499999999999963
WFIRST_X625,4.0,10.10,-2.20,-2.244625,0.003497767144908311,-2.245,0.901775,0.0433479454530431,0.90815,-2.2177734359375005,10.092143125,-0.044624999999999915
WFIRST_X625,4.0,10.10,0.00,-0.011,0.0018027756377319946,-0.0105,0.9697250000000001,0.040156840948959105,0.98645,-0.0112250828125,10.097755625000001,-0.011
