filt,dist,age,feh,feh_meas_mean,feh_meas_std,feh_meas_median,massdiff_mean,massdiff_std,massdiff_median,feh_weighted,age_weighted,feh_diff_mean
WFIRST_X625,4.0,10.00,-0.20,-0.194125,0.005301827515112123,-0.193,0.8116874999999999,0.044511752310485396,0.8219,-0.190330621875,10.006590625,0.005875000000000019
WFIRST_X625,4.0,10.00,-0.50,-0.49112500000000003,0.0033703671906782076,-0.491,0.87385,0.03039288568069837,0.8783,-0.4863771781250001,10.004911874999998,0.008874999999999966
WFIRST_X625,4.0,10.00,-0.80,-0.780625,0.0025950674365033135,-0.78,0.9317,0.02972873189357393,0.92615,-0.7756233359375,10.001040625000002,0.01937500000000003
WFIRST_X625,4.0,10.00,-1.30,-1.286,0.0018027756377319963,-1.286,0.8338,0.015398457714979122,0.8316,-1.2745999703125002,10.007367499999997,0.014000000000000012
WFIRST_X625,4.0,10.00,-1.80,-1.7795,0.003570714214271432,-1.7790000000000001,0.757325,0.02939650276818657,0.75525,-1.7618394343750001,10.01129375,0.020499999999999963
WFIRST_X625,4.0,10.00,-2.20,-2.1635,0.004795831523312614,-2.1630000000000003,0.785625,0.021134435762518042,0.79325,-2.145316440625,10.015213125,0.0365000000000002
WFIRST_X625,4.0,10.00,0.00,0.00475,0.004115519408288582,0.0035,0.8277125000000001,0.03384754191592057,0.8422000000000001,0.01163179375,9.993797500000003,0.00475
WFIRST_X625,4.0,10.00,0.10,0.096,0.009539392014169458,0.098,0.57605,0.11727402738884683,0.60775,0.10576106875,10.001941874999998,-0.0040000000000000036
WFIRST_X625,4.0,10.10,-0.20,-0.191375,0.0017984368212422756,-0.1915,0.98495,0.008643205423915373,0.9813000000000001,-0.18917138437499997,10.09908625,0.008625000000000022
WFIRST_X625,4.0,10.10,-0.50,-0.48950000000000005,0.0015000000000000013,-0.4895,0.9621375,0.008654036269279212,0.9615,-0.481356696875,10.097006875,0.010499999999999954
WFIRST_X625,4.0,10.10,-0.80,-0.783625,0.0011110243021644434,-0.7835,0.9968625,0.0050099744260824345,0.9995,-0.7827561421874999,10.099789999999999,0.01637500000000003
WFIRST_X625,4.0,10.10,-1.30,-1.2858749999999999,0.0020879116360612775,-1.2865,0.9988874999999999,0.0009558209821928004,0.9989,-1.2848285265624997,10.099591874999998,0.014125000000000165
WFIRST_X625,4.0,10.10,-1.80,-1.7795,0.0016583123951777433,-1.7795,0.9929874999999999,0.004270959347734421,0.9934000000000001,-1.7725891609375,10.098950624999999,0.020499999999999963
WFIRST_X625,4.0,10.10,-2.20,-2.1502499999999998,0.0025860201081971176,-2.1505,0.99655,0.006686179776225002,0.99915,-2.1442349218750003,10.099503125000002,0.049750000000000405
WFIRST_X625,4.0,10.10,0.00,0.0072499999999999995,0.00258602010819715,0.007,0.9036375,0.043355678333408657,0.9149,0.013556445312499998,10.091634375,0.0072499999999999995
WFIRST_X625,4.0,10.10,0.10,0.11099999999999999,0.002645751311064587,0.11,0.9719875,0.0191530309285502,0.97035,0.10993942343749999,10.09625375,0.010999999999999982
WFIRST_X625,4.0,9.30,-0.20,-0.190125,0.002471714991660641,-0.191,0.7851250000000001,0.056248861099581375,0.7952,-0.1889504453125,9.311526875,0.009875000000000023
WFIRST_X625,4.0,9.30,-0.50,-0.4845,0.0030822070014844887,-0.485,0.708725,0.05293129391012468,0.7001999999999999,-0.48073169843749997,9.314411250000001,0.015500000000000014
WFIRST_X625,4.0,9.30,-0.80,-0.784,0.0022912878474779523,-0.7835,0.708425,0.05538112832906167,0.6895,-0.7600683,9.306365,0.016000000000000014
WFIRST_X625,4.0,9.30,-1.30,-1.274,0.003082207001484491,-1.274,0.8653375,0.030458863139487,0.87955,-1.2585749437500002,9.304124375,0.026000000000000023
WFIRST_X625,4.0,9.30,-1.80,-1.7898749999999999,0.002420614591379617,-1.7905,0.834475,0.0289642344107349,0.82855,-1.7877372531249998,9.312106250000003,0.010125000000000162
WFIRST_X625,4.0,9.30,-2.20,-2.1956249999999997,0.001111024302164395,-2.1959999999999997,0.757225,0.02866198484055144,0.76305,-2.1803734984375,9.322263125,0.004375000000000462
WFIRST_X625,4.0,9.30,0.00,0.0034999999999999996,0.00406201920231798,0.0025,0.62815,0.029888877529944163,0.61805,-0.0032215218749999984,9.330933125,0.0034999999999999996
WFIRST_X625,4.0,9.30,0.10,0.1005,0.005123475382979801,0.1005,0.5103375,0.054463518466492805,0.52305,0.09316366250000001,9.3368975,0.0005000000000000004
WFIRST_X625,4.0,9.50,-0.20,-0.194125,0.0036550478793033626,-0.19399999999999998,0.748275,0.09730449308742117,0.75735,-0.17804165,9.499568750000002,0.005875000000000019
WFIRST_X625,4.0,9.50,-0.50,-0.486375,0.003388860427931493,-0.488,0.7126,0.06238040557739262,0.7227,-0.4753700578125,9.509010625,0.013624999999999998
WFIRST_X625,4.0,9.50,-0.80,-0.78075,0.003418698582794339,-0.7795000000000001,0.7905500000000001,0.05070059171252341,0.79035,-0.7628434375000002,9.502926250000002,0.01924999999999999
WFIRST_X625,4.0,9.50,-1.30,-1.27125,0.005165994579942939,-1.271,0.8262125,0.05247688628100947,0.8321000000000001,-1.2437630562500002,9.503741875,0.028750000000000053
WFIRST_X625,4.0,9.50,-1.80,-1.783125,0.00475493165040257,-1.783,0.7735,0.03387262906832004,0.77975,-1.766237534375,9.51154875,0.016874999999999973
WFIRST_X625,4.0,9.50,-2.20,-2.185125,0.003059309562630019,-2.1845,0.8066125,0.0248112090344264,0.8178000000000001,-2.181584715625,9.515855625,0.014874999999999972
