filt,dist,age,feh,feh_meas_mean,feh_meas_std,feh_meas_median,massdiff_mean,massdiff_std,massdiff_median,feh_weighted,age_weighted,feh_diff_mean
WFIRST_X606,4.0,9.3,-2.2,-2.1987,0.0014866068747319528,-2.1985,0.9696899999999999,0.017697934907779485,0.97075,-2.186150468,9.301708499999998,0.0013000000000000789
WFIRST_X606,4.0,9.3,-1.8,-1.7987000000000002,0.001268857754044968,-1.7985000000000002,0.9850300000000001,0.01400821544665842,0.98935,-1.7926028010000004,9.300540500000002,0.0012999999999998568
WFIRST_X606,4.0,9.3,-1.3,-1.2970000000000002,0.0014142135623731592,-1.297,0.96305,0.03643057095352749,0.9696499999999999,-1.294687198,9.2997795,0.0029999999999998916
WFIRST_X606,4.0,9.3,-0.8,-0.7982,0.002638181191654614,-0.797,0.93865,0.04957852861874785,0.9549,-0.791691759,9.305295000000001,0.0018000000000000238
WFIRST_X606,4.0,9.3,-0.5,-0.4988,0.0015362291495736968,-0.4985,0.91863,0.03442551524668877,0.91655,-0.49754858300000004,9.305865,0.0011999999999999789
WFIRST_X606,4.0,9.3,-0.2,-0.19899999999999998,0.0010000000000000065,-0.19899999999999998,0.9675100000000001,0.023668436788262956,0.96925,-0.19917694900000002,9.301839500000002,0.0010000000000000286
WFIRST_X606,4.0,9.3,0.0,0.0004,0.002870540018881465,0.001,0.8676299999999999,0.03705431283939833,0.8689,-0.009022391000000005,9.3122345,0.0004
WFIRST_X606,4.0,9.3,0.1,0.10230000000000002,0.0016763054614240232,0.102,0.87131,0.05550458449533696,0.8831,0.092085044,9.310752500000003,0.0023000000000000104
WFIRST_X606,4.0,9.5,-2.2,-2.1976,0.001356465996625166,-2.197,0.9700300000000001,0.018759160428974415,0.9697,-2.1771905790000003,9.501350999999998,0.0024000000000001798
WFIRST_X606,4.0,9.5,-1.8,-1.7990000000000002,0.0016733200530681528,-1.7990000000000002,0.97708,0.01509263396495126,0.9762500000000001,-1.785219672,9.500568999999999,0.0009999999999998899
WFIRST_X606,4.0,9.5,-1.3,-1.2975,0.0019104973174543195,-1.2974999999999999,0.9768800000000001,0.013944303496410291,0.9732000000000001,-1.2911547810000004,9.500544999999999,0.0024999999999999467
WFIRST_X606,4.0,9.5,-0.8,-0.7973000000000001,0.0025709920264364882,-0.797,0.9027499999999999,0.039508208007957034,0.91615,-0.7865772990000002,9.5036335,0.0026999999999999247
WFIRST_X606,4.0,9.5,-0.5,-0.5008999999999999,0.00234307490277198,-0.501,0.89177,0.04877796736232457,0.8993,-0.48226363599999994,9.502206999999999,-0.0008999999999999009
WFIRST_X606,4.0,9.5,-0.2,-0.2012,0.001989974874213241,-0.2015,0.8396100000000001,0.050352685131976826,0.8428500000000001,-0.19731053199999998,9.502812,-0.0011999999999999789
WFIRST_X606,4.0,9.5,0.0,0.0017000000000000001,0.0022825424421026655,0.0015,0.9131499999999999,0.04528949657481298,0.91355,0.00029541000000000246,9.499538,0.0017000000000000001
WFIRST_X606,4.0,9.5,0.1,0.0999,0.0018138357147217047,0.1,0.9157400000000001,0.035727166134469725,0.9206,0.09723467100000001,9.5039355,-0.00010000000000000286
WFIRST_X606,4.0,9.7,-2.2,-2.1998,0.001989974874213293,-2.1995,0.9831300000000001,0.012694097053355146,0.98505,-2.182372527,9.700061499999999,0.00019999999999997797
WFIRST_X606,4.0,9.7,-1.8,-1.7993999999999999,0.0014966629547095334,-1.7995,0.9562899999999999,0.017218969190982363,0.9585,-1.7839000699999996,9.7000915,0.000600000000000156
WFIRST_X606,4.0,9.7,-1.3,-1.2987,0.001268857754044933,-1.298,0.9616299999999999,0.029093781122432334,0.95635,-1.2846825569999998,9.699684999999999,0.0013000000000000789
WFIRST_X606,4.0,9.7,-0.8,-0.8004,0.0011999999999999715,-0.8,0.9237300000000002,0.03819754049673881,0.93535,-0.7918215330000001,9.7020665,-0.00039999999999995595
WFIRST_X606,4.0,9.7,-0.5,-0.49720000000000003,0.0055461698495448235,-0.498,0.88207,0.06813596774098098,0.9054,-0.473560221,9.697675000000002,0.002799999999999969
WFIRST_X606,4.0,9.7,-0.2,-0.20190000000000002,0.0025079872407968843,-0.20199999999999999,0.86722,0.06736259793089931,0.8888,-0.19432519,9.704057999999996,-0.0019000000000000128
WFIRST_X606,4.0,9.7,0.0,0.0019000000000000002,0.004784349485562274,0.001,0.89075,0.06391496303683514,0.9109,0.0011383600000000015,9.7027655,0.0019000000000000002
WFIRST_X606,4.0,9.7,0.1,0.09709999999999999,0.0020223748416156703,0.0975,0.9008,0.034862902919866,0.9042,0.09281203999999998,9.705110499999998,-0.0029000000000000137
WFIRST_X606,4.0,9.9,-2.2,-2.2011,0.0025475478405714326,-2.2,0.9635300000000001,0.027457168462898706,0.9660500000000001,-2.160383447,9.900003500000002,-0.0010999999999996568
WFIRST_X606,4.0,9.9,-1.8,-1.7987000000000002,0.0017916472867168802,-1.798,0.9730699999999999,0.016586684418532845,0.9788,-1.7832006759999999,9.899766,0.0012999999999998568
WFIRST_X606,4.0,9.9,-1.3,-1.2988,0.0022715633383201387,-1.2985000000000002,0.96738,0.0173760639961989,0.9665999999999999,-1.285835115,9.8986615,0.0012000000000000899
WFIRST_X606,4.0,9.9,-0.8,-0.8018000000000001,0.0029597297173897335,-0.802,0.9350999999999999,0.03288236609491476,0.93495,-0.7910964770000001,9.900425,-0.0018000000000000238
WFIRST_X606,4.0,9.9,-0.5,-0.49940000000000007,0.0031048349392520077,-0.5,0.94397,0.029794497814193823,0.9470000000000001,-0.4966423300000001,9.898682999999998,0.0005999999999999339
WFIRST_X606,4.0,9.9,-0.2,-0.19870000000000004,0.0034655446902326988,-0.1985,0.9372,0.03137189825305443,0.94645,-0.19747876800000005,9.9002405,0.0012999999999999678
WFIRST_X606,4.0,9.9,0.0,0.0008999999999999998,0.003858756276314947,-0.0005,0.883,0.060657942596167885,0.89715,0.0013812419999999974,9.8935995,0.0008999999999999998
WFIRST_X606,4.0,9.9,0.1,0.0998,0.00351567916624939,0.0995,0.9156000000000001,0.03088812069388491,0.91645,0.096452646,9.8969905,-0.00020000000000000573
WFIRST_X606,4.0,10.0,-2.2,-2.1994,0.003929376540877746,-2.1995,0.9486100000000001,0.034656267831375036,0.9641500000000001,-2.152863549,10.000686,0.000600000000000378
WFIRST_X606,4.0,10.0,-1.8,-1.7988,0.0030265491900843228,-1.8,0.9882799999999999,0.014439930747756381,0.9918,-1.7889729639999998,9.9990405,0.0012000000000000899
WFIRST_X606,4.0,10.0,-1.3,-1.3004,0.00269072480941471,-1.3,0.9637100000000001,0.023019098592255954,0.97375,-1.279412208,9.999042,-0.00039999999999995595
WFIRST_X606,4.0,10.0,-0.8,-0.8004000000000001,0.0015620499351813237,-0.8,0.9212200000000001,0.049110483605845294,0.9342999999999999,-0.7937205460000002,9.999483000000001,-0.00040000000000006697
WFIRST_X606,4.0,10.0,-0.5,-0.4993,0.0038742741255621002,-0.499,0.9359100000000001,0.031237427871065183,0.9390000000000001,-0.4929077780000001,9.999064500000003,0.0006999999999999784
WFIRST_X606,4.0,10.0,-0.2,-0.19790000000000002,0.003360059523282289,-0.19899999999999998,0.9032,0.06889518125384386,0.91335,-0.19606979700000002,9.9996025,0.0020999999999999908
WFIRST_X606,4.0,10.0,0.0,-0.0001,0.0037536648758246926,0.001,0.91372,0.06048923540597949,0.9395,-0.000839909999999998,9.997116,-0.0001
WFIRST_X606,4.0,10.0,0.1,0.0996,0.004363484845854284,0.10099999999999999,0.9196500000000001,0.059962559151523875,0.93255,0.094691656,9.9999995,-0.00040000000000001146
WFIRST_X606,4.0,10.1,-2.2,-2.1995,0.004224926034855545,-2.2,0.9897199999999999,0.00936758239889034,0.99285,-2.184960908,10.098588999999999,0.000500000000000167
WFIRST_X606,4.0,10.1,-1.8,-1.7992000000000001,0.002675817632051918,-1.7995,0.9877899999999998,0.007739696376473687,0.99045,-1.7899921519999997,10.098456999999998,0.0007999999999999119
WFIRST_X606,4.0,10.1,-1.3,-1.3003,0.002282542442102592,-1.2995,0.97959,0.012661946927704275,0.98035,-1.296832379,10.097938,-0.00029999999999996696
WFIRST_X606,4.0,10.1,-0.8,-0.8000999999999999,0.0017578395831247093,-0.8,0.98329,0.016839622917393365,0.9896499999999999,-0.7931224809999999,10.0979255,-9.999999999987796e-05
WFIRST_X606,4.0,10.1,-0.5,-0.5,0.0014832396974191339,-0.4995,0.9919500000000001,0.010527891526796822,0.9972000000000001,-0.49754600000000004,10.098788,0.0
WFIRST_X606,4.0,10.1,-0.2,-0.2008,0.001989974874213241,-0.201,0.9809700000000001,0.011218382236311985,0.9823500000000001,-0.198118585,10.097060500000001,-0.0007999999999999952
WFIRST_X606,4.0,10.1,0.0,-0.0005,0.0019104973174542802,-0.001,0.9630599999999999,0.025758501509210517,0.96575,1.7080000000000047e-05,10.096786,-0.0005
WFIRST_X606,4.0,10.1,0.1,0.10200000000000001,0.0034928498393145954,0.10099999999999999,0.9536399999999998,0.035823014948493645,0.96245,0.09986224799999999,10.097162999999998,0.0020000000000000018
WFIRST_X606,6.0,9.3,-2.2,-2.1998,0.002135415650406364,-2.2,0.9688800000000001,0.02706986516405281,0.9711000000000001,-2.1753354140000005,9.299785500000002,0.00019999999999997797
WFIRST_X606,6.0,9.3,-1.8,-1.7993000000000001,0.0017349351572896906,-1.7995,0.95737,0.025606485506605547,0.95705,-1.7771528010000002,9.3009015,0.0006999999999999229
WFIRST_X606,6.0,9.3,-1.3,-1.2998,0.004166533331199962,-1.3,0.942,0.03980808963012418,0.9536,-1.295480833,9.300097,0.00019999999999997797
WFIRST_X606,6.0,9.3,-0.8,-0.8010999999999999,0.003238826948140296,-0.8015,0.9149700000000001,0.03480816139930404,0.9168499999999999,-0.7830428540000001,9.303413500000001,-0.0010999999999998789
WFIRST_X606,6.0,9.3,-0.5,-0.49959999999999993,0.0034409301068170535,-0.4985,0.89994,0.06552998092476447,0.91405,-0.49736272899999995,9.306776,0.00040000000000006697
WFIRST_X606,6.0,9.3,-0.2,-0.2001,0.0022113344387495967,-0.2,0.94352,0.029997026519306875,0.94765,-0.196685099,9.305976000000001,-9.999999999998899e-05
WFIRST_X606,6.0,9.3,0.0,0.0027999999999999995,0.004261455150532504,0.002,0.80867,0.0751878188272542,0.79845,-0.011048332000000004,9.323899,0.0027999999999999995
WFIRST_X606,6.0,9.3,0.1,0.09759999999999999,0.0033823069050575526,0.0975,0.81943,0.0895739699912871,0.8165,0.08447712199999999,9.317923,-0.0024000000000000132
WFIRST_X606,6.0,9.5,-2.2,-2.1992000000000003,0.0027129319932501423,-2.199,0.9282599999999999,0.03151219446500036,0.93425,-2.149261916,9.499926999999998,0.0007999999999999119
WFIRST_X606,6.0,9.5,-1.8,-1.7985,0.0029068883707497003,-1.798,0.9370899999999999,0.05676526138405423,0.96295,-1.7595091109999996,9.499599,0.0015000000000000568
WFIRST_X606,6.0,9.5,-1.3,-1.2970000000000002,0.003098386676965922,-1.2965,0.95048,0.026353929498274056,0.95235,-1.2730398280000002,9.500299000000002,0.0029999999999998916
WFIRST_X606,6.0,9.5,-0.8,-0.7990000000000002,0.004171330722922846,-0.7985,0.8786700000000002,0.06764094987505719,0.903,-0.7809961880000003,9.5004205,0.0009999999999998899
WFIRST_X606,6.0,9.5,-0.5,-0.4974,0.0020591260281974,-0.49650000000000005,0.8436999999999999,0.05251894896130349,0.8382000000000001,-0.4712771659999999,9.506452999999999,0.002599999999999991
WFIRST_X606,6.0,9.5,-0.2,-0.20190000000000002,0.0043231932642434565,-0.201,0.78774,0.10925942705322962,0.8249,-0.195812037,9.5016525,-0.0019000000000000128
WFIRST_X606,6.0,9.5,0.0,0.0056,0.006711184694225007,0.004999999999999999,0.7987299999999999,0.10236355845709937,0.8185,-0.0010054660000000009,9.504722,0.0056
WFIRST_X606,6.0,9.5,0.1,0.10010000000000001,0.004742362280551749,0.0995,0.8434199999999998,0.09658483110716716,0.85145,0.088621942,9.503790999999998,0.00010000000000000286
WFIRST_X606,6.0,9.7,-2.2,-2.1942999999999997,0.0036891733491393104,-2.195,0.9164900000000001,0.047703070131805976,0.9227000000000001,-2.1166416719999996,9.698265000000001,0.0057000000000004825
WFIRST_X606,6.0,9.7,-1.8,-1.8,0.003492849839314561,-1.8005,0.8987700000000001,0.05778131272305951,0.8936999999999999,-1.7392619090000003,9.703897000000001,0.0
WFIRST_X606,6.0,9.7,-1.3,-1.2997999999999998,0.0029597297173897513,-1.2990000000000002,0.96312,0.03850389071249813,0.97355,-1.2799606199999998,9.6989175,0.00020000000000020002
WFIRST_X606,6.0,9.7,-0.8,-0.8,0.004242640687119289,-0.799,0.9014900000000001,0.0590698814964107,0.8887,-0.7816871810000002,9.7012795,0.0
WFIRST_X606,6.0,9.7,-0.5,-0.4971,0.005356304696336836,-0.49750000000000005,0.84698,0.06307473028083435,0.8507,-0.478742092,9.701856999999999,0.0029000000000000137
WFIRST_X606,6.0,9.7,-0.2,-0.1923,0.015133076356114777,-0.19549999999999998,0.7298300000000001,0.13379393147673027,0.77525,-0.17695896500000002,9.6963895,0.007700000000000012
WFIRST_X606,6.0,9.7,0.0,-0.005599999999999999,0.015014659503298767,0.0005,0.7318299999999999,0.1868742628079105,0.77905,-0.00032900299999999807,9.695210999999997,-0.005599999999999999
WFIRST_X606,6.0,9.7,0.1,0.0989,0.005374941860150672,0.1,0.80568,0.10581118844432284,0.76485,0.084837817,9.709362999999998,-0.0011000000000000038
WFIRST_X606,6.0,9.9,-2.2,-2.2020000000000004,0.006324555320336813,-2.2015000000000002,0.8894,0.059994649761457894,0.88605,-2.0884346820000004,9.902680499999999,-0.002000000000000224
WFIRST_X606,6.0,9.9,-1.8,-1.7960999999999998,0.0032388269481403082,-1.796,0.89085,0.05454622351730686,0.8997999999999999,-1.717234675,9.902787,0.0039000000000002366
WFIRST_X606,6.0,9.9,-1.3,-1.2979,0.003935733730830828,-1.298,0.93808,0.030502812985034673,0.9390499999999999,-1.2634618320000002,9.903025500000002,0.0020999999999999908
WFIRST_X606,6.0,9.9,-0.8,-0.8012,0.0027129319932501224,-0.8,0.92965,0.06251289866899473,0.942,-0.7742834940000001,9.9005585,-0.0011999999999999789
WFIRST_X606,6.0,9.9,-0.5,-0.49700000000000005,0.005585696017507571,-0.4985,0.81097,0.10625629440179063,0.8213,-0.47969304000000007,9.899244,0.002999999999999947
WFIRST_X606,6.0,9.9,-0.2,-0.2028,0.005344155686354958,-0.203,0.85355,0.08728670288193958,0.8671,-0.190509061,9.893494,-0.002799999999999997
WFIRST_X606,6.0,9.9,0.0,2.6020852139652105e-19,0.007389181280764467,0.0,0.73632,0.12475133506299642,0.7256500000000001,0.0016120029999999997,9.8906845,2.6020852139652105e-19
WFIRST_X606,6.0,9.9,0.1,0.0879,0.02264707486630448,0.0985,0.62816,0.2416756388219549,0.6512,0.07665376699999998,9.895916,-0.0121
WFIRST_X606,6.0,10.0,-2.2,-2.2024,0.00675573830162184,-2.204,0.8359500000000001,0.08563695755922207,0.82785,-2.092744839,10.0038815,-0.0023999999999997357
WFIRST_X606,6.0,10.0,-1.8,-1.7968,0.006690291473471069,-1.7985000000000002,0.88177,0.07446285046921049,0.88515,-1.7493613220000002,10.0055615,0.0032000000000000917
WFIRST_X606,6.0,10.0,-1.3,-1.2999000000000003,0.004158124577258374,-1.2995,0.8942499999999999,0.04549826919784971,0.9186000000000001,-1.2499585610000001,9.9977665,9.999999999976694e-05
WFIRST_X606,6.0,10.0,-0.8,-0.8013999999999999,0.004409081537009701,-0.8005,0.9226500000000002,0.05315336772021129,0.9397,-0.783778229,9.994219500000002,-0.0013999999999998458
WFIRST_X606,6.0,10.0,-0.5,-0.4976,0.003411744421846397,-0.49750000000000005,0.87522,0.07616657797223136,0.8839,-0.478926689,9.998015500000001,0.0024000000000000132
WFIRST_X606,6.0,10.0,-0.2,-0.2002,0.005723635208501673,-0.201,0.8088599999999999,0.0895258644191722,0.8211999999999999,-0.19593033799999998,9.995830999999999,-0.00019999999999997797
WFIRST_X606,6.0,10.0,0.0,-0.0029,0.017090640713560156,0.0045000000000000005,0.7785299999999999,0.15048030469134488,0.8088,-0.004123203,10.002303999999999,-0.0029
WFIRST_X606,6.0,10.0,0.1,0.10390000000000002,0.016795535120977836,0.101,0.68805,0.21765463123949375,0.7965500000000001,0.08963558000000003,10.0003495,0.0039000000000000146
WFIRST_X606,6.0,10.1,-2.2,-2.1981999999999995,0.007533923280734994,-2.198,0.95224,0.03713858371020629,0.97,-2.1617269889999995,10.095244,0.00180000000000069
WFIRST_X606,6.0,10.1,-1.8,-1.7984000000000002,0.007499333303701107,-1.7995,0.95577,0.044101520381955105,0.9802500000000001,-1.7539858900000003,10.096013999999998,0.0015999999999998238
WFIRST_X606,6.0,10.1,-1.3,-1.3017,0.0043600458713184,-1.3014999999999999,0.9797800000000001,0.009777811616103065,0.98105,-1.2920187710000002,10.097097,-0.0017000000000000348
