filt,dist,age,feh,age_bin,feh_meas_mean,feh_meas_std,feh_meas_median,massdiff_mean,massdiff_std,massdiff_median,feh_weighted,age_weighted
WFIRST_X625,4.0,10.00,-0.20,10.00,-0.209,0.004213074886588183,-0.21,0.899,0.037896602750114715,0.89525,-0.187891,8.99
WFIRST_X625,4.0,10.00,-0.20,10.05,-0.210125,0.09524630898360313,-0.2375,0.0358,0.018801329740207207,0.0347,-0.007522475,0.35979
WFIRST_X625,4.0,10.00,-0.20,10.10,-0.23975000000000002,0.33531393872011944,-0.125,0.006025000000000003,0.009333374255862682,9.999999999998899e-05,-0.0014444937500000007,0.060852500000000025
WFIRST_X625,4.0,10.00,-0.20,9.90,-0.1875,0.10825317547305482,-0.25,0.029837500000000003,0.025892128992224643,0.0262,-0.0055945312500000005,0.29539125000000005
WFIRST_X625,4.0,10.00,-0.20,9.95,-0.09825,0.07695087718798273,-0.15,0.02385000000000001,0.026457985562018903,0.0126,-0.002343262500000001,0.2373075000000001
WFIRST_X625,4.0,10.00,-0.50,10.00,-0.513,0.002738612787525833,-0.512,0.9297624999999999,0.03241430770122971,0.93835,-0.47696816249999996,9.297625
WFIRST_X625,4.0,10.00,-0.50,10.05,-0.552875,0.21357811071128052,-0.634,0.0150625,0.014132138682803818,0.0085,-0.0083276796875,0.151378125
WFIRST_X625,4.0,10.00,-0.50,10.10,-0.33587500000000003,0.35407853560333197,-0.275,0.005787500000000001,0.013827096360046098,0.0,-0.0019438765625000006,0.058453750000000006
WFIRST_X625,4.0,10.00,-0.50,9.90,-0.208625,0.27485584289769066,0.0,0.0033500000000000196,0.0055366957655265964,0.0,-0.0006988937500000041,0.033165000000000194
WFIRST_X625,4.0,10.00,-0.50,9.95,-0.50725,0.042493381837646164,-0.5285,0.04342500000000002,0.027805698606580612,0.03855000000000003,-0.022027331250000007,0.4320787500000002
WFIRST_X625,4.0,10.00,-0.80,10.00,-0.81825,0.004085033659592056,-0.8180000000000001,0.898475,0.031506894086850264,0.9022,-0.73517716875,8.98475
WFIRST_X625,4.0,10.00,-0.80,10.05,-0.2125,0.3680607966083864,0.0,0.001,0.002462214450449026,0.0,-0.0002125,0.010050000000000002
WFIRST_X625,4.0,10.00,-0.80,10.10,-0.4125,0.41363480269435743,-0.375,0.003537499999999999,0.0039287203705532445,0.0017499999999999738,-0.0014592187499999996,0.03572874999999999
WFIRST_X625,4.0,10.00,-0.80,9.90,-0.2375,0.4143896113562694,0.0,0.0017625000000000002,0.0034124542121470283,0.0,-0.00041859375,0.017448750000000002
WFIRST_X625,4.0,10.00,-0.80,9.95,-0.803,0.022085062825357778,-0.8105,0.09138749999999998,0.03381114599876794,0.08104999999999996,-0.07338416249999999,0.9093056249999998
WFIRST_X625,4.0,10.00,-1.30,10.00,-1.32025,0.0021065374432941014,-1.3205,0.85545,0.0164564576990311,0.8572500000000001,-1.1294078625,8.5545
WFIRST_X625,4.0,10.00,-1.30,10.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WFIRST_X625,4.0,10.00,-1.30,10.10,-0.15625,0.41339864235384227,0.0,0.0006624999999999964,0.0017528102435802819,0.0,-0.00010351562499999944,0.006691249999999964
WFIRST_X625,4.0,10.00,-1.30,9.90,-0.325,0.5634713834792323,0.0,0.00033750000000000446,0.0008929410674843111,0.0,-0.00010968750000000145,0.0033412500000000443
WFIRST_X625,4.0,10.00,-1.30,9.95,-1.350625,0.013963680567815873,-1.353,0.1401,0.0180897761180176,0.13905,-0.1892225625,1.3939949999999999
WFIRST_X625,4.0,10.00,-1.80,10.00,-1.8175,0.0014142135623730866,-1.818,0.75295,0.012970061680655178,0.7567,-1.3684866249999998,7.5295000000000005
