filt,dist,age,feh,age_bin,feh_meas_mean,feh_meas_std,feh_meas_median,massdiff_mean,massdiff_std,massdiff_median
WFIRST_X606,4,9.3,-1.8,9.45,-0.4032,0.8086236207284573,0.0,7e-05,0.00020999999999999998,0.0
WFIRST_X606,4,9.3,-1.8,9.5,-0.37889999999999996,0.7582063637295587,0.0,0.00053,0.001344656089860898,0.0
WFIRST_X606,4,9.3,-1.8,9.55,-0.175,0.525,0.0,1.1102230246251563e-17,3.330669073875469e-17,0.0
WFIRST_X606,4,9.3,-1.3,8.4,0.0,0.0,0.0,0.0,0.0,0.0
WFIRST_X606,4,9.3,-1.3,8.45,0.0,0.0,0.0,0.0,0.0,0.0
WFIRST_X606,4,9.3,-1.3,8.5,0.0,0.0,0.0,0.0,0.0,0.0
WFIRST_X606,4,9.3,-1.3,8.55,0.0,0.0,0.0,0.0,0.0,0.0
WFIRST_X606,4,9.3,-1.3,8.6,0.0,0.0,0.0,0.0,0.0,0.0
WFIRST_X606,4,9.3,-1.3,8.65,0.0,0.0,0.0,0.0,0.0,0.0
WFIRST_X606,4,9.3,-1.3,8.7,0.0,0.0,0.0,0.0,0.0,0.0
WFIRST_X606,4,9.3,-1.3,8.75,0.0,0.0,0.0,0.0,0.0,0.0
WFIRST_X606,4,9.3,-1.3,8.8,0.0,0.0,0.0,0.0,0.0,0.0
WFIRST_X606,4,9.3,-1.3,8.85,0.0,0.0,0.0,0.0,0.0,0.0
WFIRST_X606,4,9.3,-1.3,8.9,0.0,0.0,0.0,0.0,0.0,0.0
WFIRST_X606,4,9.3,-1.3,8.95,0.0046999999999999984,0.057348147310963764,0.0,0.00010999999999999899,0.0002700000000000027,0.0
WFIRST_X606,4,9.3,-1.3,9.0,0.0,0.0,0.0,0.0,0.0,0.0
WFIRST_X606,4,9.3,-1.3,9.05,0.0,0.0,0.0,0.0,0.0,0.0
WFIRST_X606,4,9.3,-1.3,9.1,-0.1302,0.3156712847251077,0.0,0.0,0.0,0.0
WFIRST_X606,4,9.3,-1.3,9.15,-0.5185,0.5856451570703884,-0.1925,0.00040999999999999923,0.0010454185764563252,0.0
WFIRST_X606,4,9.3,-1.3,9.2,-0.3372,0.5189167177881244,0.0,0.00011999999999999785,0.00035999999999999346,0.0
WFIRST_X606,4,9.3,-1.3,9.25,-1.2538,0.04733032854312343,-1.25,0.01935999999999999,0.017418335167288516,0.014399999999999968
WFIRST_X606,4,9.3,-1.3,9.3,-1.2970000000000002,0.0014142135623731592,-1.297,0.96305,0.03643057095352749,0.9696499999999999
WFIRST_X606,4,9.3,-1.3,9.35,-1.2468,0.038107217164206605,-1.25,0.01689,0.022499175540450365,0.01245
WFIRST_X606,4,9.3,-1.3,9.4,-0.11499999999999999,0.34500000000000003,0.0,0.0,0.0,0.0
WFIRST_X606,4,9.3,-1.3,9.45,-0.125,0.375,0.0,0.0,0.0,0.0
WFIRST_X606,4,9.3,-1.3,9.5,-0.125,0.375,0.0,0.0,0.0,0.0
WFIRST_X606,4,9.3,-1.3,9.55,-0.44659999999999994,0.8542856899187765,0.0,6.000000000000451e-05,0.00012806248474863768,0.0
WFIRST_X606,4,9.3,-0.8,8.4,0.0,0.0,0.0,0.0,0.0,0.0
WFIRST_X606,4,9.3,-0.8,8.45,0.0,0.0,0.0,0.0,0.0,0.0
WFIRST_X606,4,9.3,-0.8,8.5,0.0,0.0,0.0,0.0,0.0,0.0
WFIRST_X606,4,9.3,-0.8,8.55,0.0,0.0,0.0,0.0,0.0,0.0
WFIRST_X606,4,9.3,-0.8,8.6,0.0,0.0,0.0,0.0,0.0,0.0
WFIRST_X606,4,9.3,-0.8,8.65,0.0,0.0,0.0,0.0,0.0,0.0
WFIRST_X606,4,9.3,-0.8,8.7,-0.033600000000000005,0.1008,0.0,0.0,0.0,0.0
WFIRST_X606,4,9.3,-0.8,8.75,-0.0371,0.11129999999999998,0.0,0.0,0.0,0.0
WFIRST_X606,4,9.3,-0.8,8.8,-0.0377,0.11309999999999999,0.0,0.0,0.0,0.0
WFIRST_X606,4,9.3,-0.8,8.85,-0.037,0.111,0.0,0.0,0.0,0.0
WFIRST_X606,4,9.3,-0.8,8.9,-0.046200000000000005,0.1386,0.0,0.0,0.0,0.0
WFIRST_X606,4,9.3,-0.8,8.95,-0.1701,0.35170454930239387,0.0,0.0,0.0,0.0
WFIRST_X606,4,9.3,-0.8,9.0,-0.2433,0.4033534554209248,0.0,8.000000000000228e-05,0.00024000000000000686,0.0
