filt,dist,age,feh,age_bin,feh_meas_mean,feh_meas_std,feh_meas_median,massdiff_mean,massdiff_std,massdiff_median
WFIRST_X625,4,10.00,-0.20,10.00,-0.194125,0.005301827515112123,-0.193,0.8116874999999999,0.044511752310485396,0.8219
WFIRST_X625,4,10.00,-0.20,10.05,-0.196125,0.032868820712036506,-0.20049999999999998,0.1249,0.0618538802339837,0.1253
WFIRST_X625,4,10.00,-0.20,10.10,-0.16925,0.0716043818491578,-0.1855,0.03477499999999997,0.03246951454826511,0.02554999999999996
WFIRST_X625,4,10.00,-0.20,9.10,-0.00625,0.016535945694153693,0.0,0.0,0.0,0.0
WFIRST_X625,4,10.00,-0.20,9.15,0.0,0.0,0.0,0.0,0.0,0.0
WFIRST_X625,4,10.00,-0.20,9.20,0.00625,0.016535945694153693,0.0,0.0,0.0,0.0
WFIRST_X625,4,10.00,-0.20,9.25,-0.026000000000000002,0.06878953408767936,0.0,0.0,0.0,0.0
WFIRST_X625,4,10.00,-0.20,9.30,0.0,0.0,0.0,0.0,0.0,0.0
WFIRST_X625,4,10.00,-0.20,9.35,-0.03125,0.08267972847076846,0.0,0.0,0.0,0.0
WFIRST_X625,4,10.00,-0.20,9.40,-0.0425,0.11244443072024511,0.0,0.0,0.0,0.0
WFIRST_X625,4,10.00,-0.20,9.45,-0.024999999999999998,0.1322875655532295,0.0,0.0005000000000000004,0.0013228756555322965,0.0
WFIRST_X625,4,10.00,-0.20,9.50,-0.0435,0.11509018203130968,0.0,0.0,0.0,0.0
WFIRST_X625,4,10.00,-0.20,9.55,-0.11349999999999999,0.300292773805831,0.0,0.0,0.0,0.0
WFIRST_X625,4,10.00,-0.20,9.60,-0.09999999999999999,0.28394541729001366,0.0,0.00033750000000000446,0.0008929410674843111,0.0
WFIRST_X625,4,10.00,-0.20,9.65,0.0006250000000000006,0.023774658252012793,0.0,0.0003499999999999892,0.0006244997998398177,0.0
WFIRST_X625,4,10.00,-0.20,9.70,0.025,0.025,0.025,0.0015875000000000056,0.0027836296000007016,0.00045000000000000595
WFIRST_X625,4,10.00,-0.20,9.75,-0.11249999999999999,0.3169680583276491,0.0,5.000000000000837e-05,0.0001322875655532517,0.0
WFIRST_X625,4,10.00,-0.20,9.80,-0.10625,0.28111107680061276,0.0,0.0,0.0,0.0
WFIRST_X625,4,10.00,-0.20,9.85,-0.0375,0.06495190528383289,0.0,0.005974999999999994,0.01045008971253356,0.0
WFIRST_X625,4,10.00,-0.20,9.90,-0.071625,0.0721005157748542,-0.061500000000000006,0.0044500000000000095,0.007427146154479542,4.999999999999449e-05
WFIRST_X625,4,10.00,-0.20,9.95,-0.118625,0.11575290223143435,-0.119,0.015387499999999998,0.023455140028360525,9.999999999998899e-05
WFIRST_X625,4,10.00,-0.50,10.00,-0.49112500000000003,0.0033703671906782076,-0.491,0.87385,0.03039288568069837,0.8783
WFIRST_X625,4,10.00,-0.50,10.05,-0.46824999999999994,0.017865819320702865,-0.469,0.11558750000000001,0.028096816434429007,0.1071
WFIRST_X625,4,10.00,-0.50,10.10,0.0,0.0,0.0,0.0,0.0,0.0
WFIRST_X625,4,10.00,-0.50,9.10,0.0,0.0,0.0,0.0,0.0,0.0
WFIRST_X625,4,10.00,-0.50,9.15,0.0,0.0,0.0,0.0,0.0,0.0
