filt,dist,age,feh,age_bin,feh_meas_mean,feh_meas_std,feh_meas_median,massdiff_mean,massdiff_std,massdiff_median,feh_weighted,age_weighted
WFIRST_X625,4.0,10.00,-0.20,10.00,-0.194125,0.005301827515112123,-0.193,0.8116874999999999,0.044511752310485396,0.8219,-0.15756883593749998,8.116874999999999
WFIRST_X625,4.0,10.00,-0.20,10.05,-0.196125,0.032868820712036506,-0.20049999999999998,0.1249,0.0618538802339837,0.1253,-0.024496012499999997,1.2552450000000002
WFIRST_X625,4.0,10.00,-0.20,10.10,-0.16925,0.0716043818491578,-0.1855,0.03477499999999997,0.03246951454826511,0.02554999999999996,-0.005885668749999995,0.3512274999999997
WFIRST_X625,4.0,10.00,-0.20,9.90,-0.071625,0.0721005157748542,-0.061500000000000006,0.0044500000000000095,0.007427146154479542,4.999999999999449e-05,-0.0003187312500000007,0.044055000000000094
WFIRST_X625,4.0,10.00,-0.20,9.95,-0.118625,0.11575290223143435,-0.119,0.015387499999999998,0.023455140028360525,9.999999999998899e-05,-0.0018253421874999997,0.15310562499999997
WFIRST_X625,4.0,10.00,-0.50,10.00,-0.49112500000000003,0.0033703671906782076,-0.491,0.87385,0.03039288568069837,0.8783,-0.42916958125000004,8.7385
WFIRST_X625,4.0,10.00,-0.50,10.05,-0.46824999999999994,0.017865819320702865,-0.469,0.11558750000000001,0.028096816434429007,0.1071,-0.054123846875,1.1616543750000001
WFIRST_X625,4.0,10.00,-0.50,10.10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WFIRST_X625,4.0,10.00,-0.50,9.90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WFIRST_X625,4.0,10.00,-0.50,9.95,-0.33125,0.14128318194321646,-0.35,0.009187500000000015,0.007645331500334057,0.007599999999999996,-0.003043359375000005,0.09141562500000014
WFIRST_X625,4.0,10.00,-0.80,10.00,-0.780625,0.0025950674365033135,-0.78,0.9317,0.02972873189357393,0.92615,-0.7273083124999999,9.317
WFIRST_X625,4.0,10.00,-0.80,10.05,-0.809875,0.03463537750624353,-0.8085,0.050449999999999995,0.0256919734547582,0.0509,-0.040858193749999994,0.5070224999999999
