filt,dist,age,feh,age_bin,feh_meas_mean,feh_meas_std,feh_meas_median,massdiff_mean,massdiff_std,massdiff_median,feh_weighted,age_weighted
WFIRST_X606,4.0,9.3,-2.2,9.2,-0.5549999999999999,0.8629745071553389,0.0,2.99999999999967e-05,6.403124237432144e-05,0.0,-1.664999999999817e-05,0.00027599999999996963
WFIRST_X606,4.0,9.3,-2.2,9.25,-0.045,0.135,0.0,0.0,0.0,0.0,-0.0,0.0
WFIRST_X606,4.0,9.3,-2.2,9.3,-2.1987,0.0014866068747319528,-2.1985,0.9696899999999999,0.017697934907779485,0.97075,-2.132057403,9.018117
WFIRST_X606,4.0,9.3,-2.2,9.35,-2.0168,0.6723464583085124,-2.2439999999999998,0.02531,0.017839027439857814,0.02195,-0.051045207999999995,0.23664849999999998
WFIRST_X606,4.0,9.3,-2.2,9.4,-0.6615,1.0107127435626801,0.0,0.004149999999999999,0.007282478973536414,0.0,-0.0027452249999999996,0.039009999999999996
WFIRST_X606,4.0,9.3,-1.8,9.2,-0.175,0.5249999999999999,0.0,0.0002399999999999957,0.0007199999999999869,0.0,-4.1999999999999246e-05,0.0022079999999999604
WFIRST_X606,4.0,9.3,-1.8,9.25,-1.452,0.7468997255321493,-1.75,0.002639999999999998,0.004565566777520598,4.99999999999945e-05,-0.0038332799999999966,0.02441999999999998
WFIRST_X606,4.0,9.3,-1.8,9.3,-1.7987000000000002,0.001268857754044968,-1.7985000000000002,0.9850300000000001,0.01400821544665842,0.98935,-1.7717734610000002,9.160779000000002
WFIRST_X606,4.0,9.3,-1.8,9.35,-1.5809000000000002,0.5403732876447539,-1.7795,0.00967,0.012128565455155857,0.0035,-0.015287303000000002,0.0904145
WFIRST_X606,4.0,9.3,-1.8,9.4,-0.8469000000000001,0.8507211587823592,-0.775,0.0016399999999999997,0.0025854206620973693,4.999999999999997e-05,-0.001388916,0.015415999999999997
WFIRST_X606,4.0,9.3,-1.3,9.2,-0.3372,0.5189167177881244,0.0,0.00011999999999999785,0.00035999999999999346,0.0,-4.046399999999927e-05,0.0011039999999999802
WFIRST_X606,4.0,9.3,-1.3,9.25,-1.2538,0.04733032854312343,-1.25,0.01935999999999999,0.017418335167288516,0.014399999999999968,-0.024273567999999985,0.1790799999999999
WFIRST_X606,4.0,9.3,-1.3,9.3,-1.2970000000000002,0.0014142135623731592,-1.297,0.96305,0.03643057095352749,0.9696499999999999,-1.24907585,8.956365
WFIRST_X606,4.0,9.3,-1.3,9.35,-1.2468,0.038107217164206605,-1.25,0.01689,0.022499175540450365,0.01245,-0.021058452,0.1579215
WFIRST_X606,4.0,9.3,-1.3,9.4,-0.11499999999999999,0.34500000000000003,0.0,0.0,0.0,0.0,-0.0,0.0
WFIRST_X606,4.0,9.3,-0.8,9.2,-0.8549999999999999,0.6947841391396323,-0.75,0.00026999999999999247,0.00047549973711874066,4.99999999999945e-05,-0.00023084999999999352,0.0024839999999999307
WFIRST_X606,4.0,9.3,-0.8,9.25,-0.63,0.3179622619116929,-0.75,0.01657000000000001,0.02904761780249801,0.0040500000000000536,-0.010439100000000005,0.1532725000000001
WFIRST_X606,4.0,9.3,-0.8,9.3,-0.7982,0.002638181191654614,-0.797,0.93865,0.04957852861874785,0.9549,-0.74923043,8.729445
WFIRST_X606,4.0,9.3,-0.8,9.35,-0.7255,0.4416705219957519,-0.7665,0.01065,0.018575481151238048,0.0,-0.007726575,0.0995775
WFIRST_X606,4.0,9.3,-0.8,9.4,-0.4465,0.44770911315272555,-0.425,0.0068800000000000016,0.011138563641690974,0.0,-0.0030719200000000006,0.06467200000000002
WFIRST_X606,4.0,9.3,-0.5,9.2,-0.2447,0.26653857131754866,-0.175,0.000770000000000004,0.0019708120153885955,0.0,-0.00018841900000000098,0.007084000000000036
WFIRST_X606,4.0,9.3,-0.5,9.25,-0.3699,0.20066013555263038,-0.45,0.0123,0.017753703838917667,0.005549999999999999,-0.00454977,0.113775
WFIRST_X606,4.0,9.3,-0.5,9.3,-0.4988,0.0015362291495736968,-0.4985,0.91863,0.03442551524668877,0.91655,-0.458212644,8.543259
WFIRST_X606,4.0,9.3,-0.5,9.35,-0.4852,0.03468371375732421,-0.487,0.038000000000000006,0.03496100685048988,0.031950000000000006,-0.018437600000000005,0.35530000000000006
WFIRST_X606,4.0,9.3,-0.5,9.4,-0.3105,0.4193583789552798,0.0,0.00184,0.003655188093655373,0.0,-0.00057132,0.017296000000000002
WFIRST_X606,4.0,9.3,-0.2,9.2,-0.05900000000000001,0.06268173577685927,-0.045,0.0035800000000000055,0.006576442807475805,0.0,-0.00021122000000000035,0.03293600000000005
WFIRST_X606,4.0,9.3,-0.2,9.25,-0.091,0.08791473141629905,-0.1,0.0032499999999999972,0.004451348110404308,0.0021999999999999797,-0.00029574999999999973,0.030062499999999975
WFIRST_X606,4.0,9.3,-0.2,9.3,-0.19899999999999998,0.0010000000000000065,-0.19899999999999998,0.9675100000000001,0.023668436788262956,0.96925,-0.19253449,8.997843000000001
WFIRST_X606,4.0,9.3,-0.2,9.35,-0.2206,0.18068381222455984,-0.21199999999999997,0.010719999999999999,0.01705706891584835,0.00014999999999999996,-0.0023648319999999994,0.10023199999999999
WFIRST_X606,4.0,9.3,-0.2,9.4,-0.4384,0.6102712839385448,-0.225,0.0002599999999999998,0.0004673328578219167,0.0,-0.00011398399999999992,0.0024439999999999983
WFIRST_X606,4.0,9.3,0.0,9.2,-0.030000000000000006,0.21470910553583888,0.0,0.0018900000000000028,0.005344988306816029,0.0,-5.67000000000001e-05,0.017388000000000025
WFIRST_X606,4.0,9.3,0.0,9.25,0.0316,0.048652235303221165,0.025,0.008440000000000003,0.015024659729924006,0.0,0.00026670400000000015,0.07807000000000003
WFIRST_X606,4.0,9.3,0.0,9.3,0.0004,0.002870540018881465,0.001,0.8676299999999999,0.03705431283939833,0.8689,0.000347052,8.068959
WFIRST_X606,4.0,9.3,0.0,9.35,-0.0032,0.03508503954679259,0.003,0.05730999999999999,0.022464836968026276,0.05554999999999999,-0.000183392,0.5358485
WFIRST_X606,4.0,9.3,0.0,9.4,-0.19990000000000002,0.41685739767935026,-0.05,0.013179999999999997,0.029106418536123606,0.0002500000000000002,-0.0026346819999999997,0.12389199999999997
WFIRST_X606,4.0,9.3,0.1,9.2,0.0116,0.04723388614120163,0.0,0.0009700000000000042,0.002910000000000013,0.0,1.1252000000000047e-05,0.008924000000000038
WFIRST_X606,4.0,9.3,0.1,9.25,0.14689999999999998,0.006640030120413609,0.15,0.020340000000000025,0.0179448154072423,0.016800000000000037,0.002987946000000003,0.18814500000000023
WFIRST_X606,4.0,9.3,0.1,9.3,0.10230000000000002,0.0016763054614240232,0.102,0.87131,0.05550458449533696,0.8831,0.08913501300000001,8.103183000000001
WFIRST_X606,4.0,9.3,0.1,9.35,0.057999999999999996,0.03642526595647587,0.0585,0.05825999999999999,0.03308033252553547,0.06764999999999999,0.003379079999999999,0.5447309999999999
WFIRST_X606,4.0,9.3,0.1,9.4,-0.14920000000000003,0.5539185499692171,0.0,0.0052000000000000015,0.01523686319424048,0.0,-0.0007758400000000004,0.048880000000000014
WFIRST_X606,4.0,9.5,-2.2,9.4,-0.6249999999999999,0.9550523545858625,0.0,0.0009600000000000053,0.0028468227904104096,0.0,-0.0006000000000000032,0.009024000000000051
WFIRST_X606,4.0,9.5,-2.2,9.45,-0.44000000000000006,0.8802840450672725,0.0,0.0007500000000000062,0.0015717824276915795,0.0,-0.00033000000000000276,0.007087500000000058
WFIRST_X606,4.0,9.5,-2.2,9.5,-2.1976,0.001356465996625166,-2.197,0.9700300000000001,0.018759160428974415,0.9697,-2.131737928,9.215285
WFIRST_X606,4.0,9.5,-2.2,9.55,-1.8,0.9,-2.25,0.022799999999999997,0.022196666416378835,0.0194,-0.04103999999999999,0.21774
